t sigma_zs_1em3 max_bond_dim_1em3 sigma_zs_1em4 max_bond_dim_1em4 sigma_zs_1em5 max_bond_dim_1em5 
7.164776517678452 -0.36416261743380257 3.0922 -0.3579711906093321 4.0007 -0.36464251499042055 6.0 
7.184789859906604 -0.37241209683316384 3.0924 -0.366723825304832 4.0007 -0.3727220836064156 6.0 
7.204803202134756 -0.3808888768550596 3.0927 -0.37583359036881714 4.0007 -0.38132338830550416 5.9999 
7.224816544362908 -0.38954568892484165 3.0927 -0.3854009775939911 4.0007 -0.3903697009421829 5.9999 
7.24482988659106 -0.39874877441874995 3.0932 -0.39479319159020193 4.0007 -0.3996050212904892 5.9999 
7.264843228819212 -0.4079117613972038 3.0932 -0.40431600559843256 4.0007 -0.4088077645420238 5.9999 
7.2848565710473645 -0.4168753941886799 3.093 -0.4139241978138435 4.0007 -0.4180886928044998 5.9999 
7.304869913275517 -0.4258046486494356 3.093 -0.42355917997434417 4.0008 -0.42791083887716674 5.9999 
7.324883255503669 -0.43515862782247006 3.0927 -0.4331475025520086 4.0008 -0.43788171345378024 5.9999 
7.344896597731821 -0.44444185497153194 3.093 -0.4426143672372623 4.0008 -0.44736000636711176 5.9999 
7.364909939959973 -0.45409394551973153 3.0933 -0.4521564498379819 4.0008 -0.4570148934298646 5.9999 
7.384923282188125 -0.4632991730294314 3.0936 -0.4617014336910481 4.0008 -0.4667621139447352 5.9999 
7.404936624416277 -0.47252666933747334 3.0934 -0.47100593603535507 4.0008 -0.4764818522205328 5.9999 
7.424949966644429 -0.4822018056790804 3.0936 -0.48098913011654665 4.0008 -0.4858001585422816 5.9999 
7.444963308872581 -0.4916410764106288 3.0937 -0.49103279521562865 4.0008 -0.49524197413427334 5.9999 
7.464976651100733 -0.5006342051842808 3.0945 -0.5006186925360456 4.0008 -0.5043580798906394 5.9999 
7.4849899933288855 -0.5096755366276374 3.0948 -0.5099951396316095 4.0008 -0.5131066251743672 5.9998 
7.505003335557038 -0.5179585948285252 3.0951 -0.5185284256589945 4.0008 -0.5218685635562915 5.9998 
7.52501667778519 -0.5259850597419052 3.0955 -0.5270172715768644 4.0008 -0.5301815389532162 5.9998 
7.545030020013342 -0.5335273502209665 3.096 -0.5355535858445699 4.0008 -0.5384689620183696 5.9998 
7.565043362241494 -0.5417795745315963 3.0958 -0.543454933250603 4.0008 -0.5468654036717956 5.9998 
7.585056704469646 -0.5498665044890381 3.0962 -0.5510129474394747 4.0008 -0.554807689843817 5.9998 
7.605070046697798 -0.5577248173011519 3.0968 -0.5583393459810682 4.0008 -0.5631293416740851 5.9998 
